0	0	0	0	-0	-0	0	0	0	0	0	0	0	-0	0	-0	0	0	-0	0	-0	0	-0	0	-0	0	0	0	-0	0	-0
0.5	-3.565636449e-018	-1.562870473e-016	-9.497307769e-017	4.081446123e-016	-1.031387419e-016	-9.595493507e-018	2.884772624e-016	-9.095470156e-017	2.076911392e-016	2.417417613e-016	-2.286743547e-018	2.408445625e-016	6.982095173e-017	2.126236703e-016	4.748446936e-016	-1.29100851e-017	-4.787089142e-016	-2.209790722e-016	-8.166050116e-017	-1.832651611e-017	-1.403136586e-017	-2.672644243e-017	1.368681357e-016	5.324957674e-016	5.594145345e-016	-6.034203226e-018	4.253448993e-016	5.730121611e-016	1.383598286e-015	2.47712441e-015
1	2.526255889e-017	1.380417517e-016	2.056130743e-017	-9.475602755e-017	5.223589407e-017	-1.693351411e-017	2.095131611e-016	1.51144856e-018	1.067254733e-016	1.138111723e-016	-2.924849144e-017	-7.923035765e-018	1.749068006e-016	5.761143619e-017	2.515602105e-016	9.479465286e-019	-3.61638776e-017	1.016051662e-016	-2.085495564e-016	5.870955468e-017	-9.886967503e-018	-3.95219315e-017	3.294170825e-016	1.937464966e-016	5.968060537e-016	-3.458941883e-017	1.09414275e-015	1.788862172e-015	3.256445151e-015	5.580116407e-015
1.5	-5.620093652e-018	4.911337492e-016	-4.290719611e-016	1.614012489e-016	1.875284668e-016	-2.354128757e-017	9.011175347e-017	-6.618093959e-017	2.993458645e-016	4.958120062e-017	-2.222848431e-017	-2.470758772e-016	6.016157604e-017	-4.133289997e-016	1.979326156e-016	1.592811505e-017	9.542439379e-017	5.53983864e-016	1.864493236e-017	4.870820987e-016	4.881297102e-018	7.170941443e-017	2.592009932e-016	6.006870982e-017	3.778083303e-016	-4.337323532e-017	1.423607339e-015	2.741047991e-015	4.493683596e-015	8.573280326e-015
2	-6.725178263e-018	5.776031488e-016	-4.684354394e-016	3.713205256e-016	4.241624324e-018	-2.870142088e-019	1.979124566e-016	-3.231114718e-017	-1.106670058e-016	3.117780538e-016	-1.941506449e-017	-2.168907127e-016	-9.55048272e-017	-4.441060445e-016	-3.295126867e-016	7.157136079e-018	-2.790395754e-016	5.936121983e-016	2.032450067e-016	4.371907032e-016	3.148364541e-018	5.664222777e-017	2.317264052e-016	4.611504589e-016	7.556074654e-016	-5.358972827e-017	1.846222626e-015	3.781061074e-015	6.010200203e-015	1.160864022e-014
2.5	-1.489027562e-017	3.178358918e-016	-3.038329914e-016	8.545387692e-017	1.446400985e-016	-9.623221562e-018	2.487922355e-016	3.473993634e-017	1.546981127e-016	5.024622294e-016	2.232176368e-018	-4.967526733e-018	3.072103857e-016	-1.957095733e-017	1.199297831e-016	1.745022505e-018	1.51160041e-016	4.366852081e-016	1.024355288e-016	8.526579085e-017	-2.176300645e-018	2.202008678e-016	1.952723066e-016	4.22274591e-016	3.865234183e-016	-4.895886711e-017	1.886920233e-015	4.083503949e-015	7.484214203e-015	1.425619132e-014
3	-1.324683268e-017	1.021204187e-016	-3.795927399e-017	-3.055542239e-016	7.846193972e-017	-4.094085449e-018	2.3322362e-016	-1.837512534e-016	-1.935667757e-016	2.114873715e-016	-1.791536628e-017	3.690143313e-017	1.349749155e-016	-1.120827212e-016	-2.489635398e-016	1.086547632e-017	5.516655615e-016	4.21050823e-016	9.734035617e-017	4.464173791e-017	-1.23153582e-017	1.001258639e-016	7.711454341e-016	9.070241493e-016	5.544619038e-016	-6.723880372e-017	2.225363179e-015	4.638854641e-015	9.217062329e-015	1.739485869e-014
3.5	-4.372073187e-018	4.492600375e-017	9.943790326e-017	-1.664175824e-016	-2.450224242e-017	-2.083069014e-017	2.797414654e-016	1.082647837e-016	5.918904468e-017	4.161417154e-016	-2.537982645e-017	1.100791852e-016	2.71884672e-016	2.320860533e-016	-4.513159349e-017	-9.809234921e-019	3.389522853e-016	5.292428773e-016	1.494288137e-016	2.531796588e-016	-3.208139047e-018	7.936677873e-017	1.016996563e-015	3.404019873e-016	2.337532253e-016	-4.770067658e-017	2.455966127e-015	5.526531913e-015	1.099025975e-014	2.016043532e-014
4	-1.857300837e-017	2.072194074e-016	2.567257205e-016	3.156984934e-016	8.301759959e-017	-1.869231167e-017	2.244790749e-016	7.206596457e-017	2.059204231e-016	5.059814803e-016	-4.38930094e-017	-1.023973943e-017	1.819731963e-016	-3.233258288e-017	1.01293259e-016	1.187874147e-017	3.004491762e-016	6.215188291e-016	3.163056911e-016	4.319302658e-017	-9.353551498e-018	1.179953666e-016	9.870845478e-016	5.289374639e-016	9.077224913e-016	-6.879937575e-017	3.06398749e-015	6.281197184e-015	1.25964731e-014	2.318171588e-014
4.5	1.443277138e-017	4.332641419e-016	4.219551032e-016	3.290958357e-016	1.557639676e-017	-1.248601193e-017	2.499998423e-016	1.650432139e-016	1.816147617e-017	4.778057174e-016	-3.695332287e-017	1.6751781e-016	2.481490063e-016	6.695682664e-017	5.702981021e-016	-1.175166497e-018	2.638172212e-016	5.00897542e-016	3.482488779e-016	2.662365315e-016	-1.978061412e-018	5.072045517e-016	9.715529383e-016	2.45063008e-016	7.27403272e-016	-8.891167718e-017	3.484279369e-015	7.095605812e-015	1.429018966e-014	2.636167568e-014
